"tool","operation","pattern","status","file formats","website_url","github_repo"
"ai to png","convert","x to y, convert x to y","onsite-unverified",".ai,.png","",""
"ai to svg","convert","x to y, convert x to y","onsite-unverified",".ai,.svg","",""
"arw to jpg","convert","x to y, convert x to y","onsite-unverified",".arw,.jpg","",""
"avif to jpeg","convert","x to y, convert x to y","onsite-unverified",".avif,.jpeg","",""
"avif to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"avif to png","convert","x to y, convert x to y","onsite-unverified","","",""
"bmp to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"bmp to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"bmp to png","convert","x to y, convert x to y","onsite-unverified","","",""
"cr2 to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"cr3 to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"dng to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"gif to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"gif to png","convert","x to y, convert x to y","onsite-unverified","","",""
"gif to webp","convert","x to y, convert x to y","onsite-unverified","","",""
"heic to jpeg","convert","x to y, convert x to y","onsite-unverified","","",""
"heic to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"heic to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"heic to png","convert","x to y, convert x to y","onsite-unverified","","",""
"heif to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"heif to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"heif to png","convert","x to y, convert x to y","onsite-unverified","","",""
"ico to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"ico to png","convert","x to y, convert x to y","onsite-unverified","","",""
"jfif to jpeg","convert","x to y, convert x to y","onsite-unverified","","",""
"jfif to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"jfif to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"jfif to png","convert","x to y, convert x to y","onsite-unverified","","",""
"jpeg to gif","convert","x to y, convert x to y","onsite-unverified","","",""
"jpeg to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"jpeg to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"jpeg to png","convert","x to y, convert x to y","onsite-unverified","","",""
"jpeg to webp","convert","x to y, convert x to y","onsite-unverified","","",""
"jpg to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"jpg to png","convert","x to y, convert x to y","onsite-unverified","","",""
"jpg to svg","convert","x to y, convert x to y","onsite-unverified","","",""
"jpg to webp","convert","x to y, convert x to y","onsite-unverified","","",""
"json to csv","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to avi","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to gif","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to mov","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to mp3","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to mp4","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to ogg","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to wav","convert","x to y, convert x to y","onsite-unverified","","",""
"mkv to webm","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to 3gp","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to aac","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to aiff","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to asf","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to avi","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to divx","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to f4v","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to flac","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to flv","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to gif","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to hevc","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to m2ts","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to m4a","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to m4v","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mjpeg","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mkv","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mov","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mp2","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mp3","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mpeg","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mpeg2","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mpg","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to mts","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to ogg","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to opus","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to ts","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to vob","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to wav","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to webm","convert","x to y, convert x to y","onsite-unverified","","",""
"mp4 to wma","convert","x to y, convert x to y","onsite-unverified","","",""
"pdf to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"pdf to png","convert","x to y, convert x to y","onsite-unverified","","",""
"png to gif","convert","x to y, convert x to y","onsite-unverified","","",""
"png to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"png to pdf","convert","x to y, convert x to y","onsite-unverified","","",""
"png to png","convert","x to y, convert x to y","onsite-unverified","","",""
"png to webp","convert","x to y, convert x to y","onsite-unverified","","",""
"svg to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"svg to png","convert","x to y, convert x to y","onsite-unverified","","",""
"webp to gif","convert","x to y, convert x to y","onsite-unverified","","",""
"webp to jpg","convert","x to y, convert x to y","onsite-unverified","","",""
"webp to png","convert","x to y, convert x to y","onsite-unverified","","",""
